month,day,year,budget,domestic,worldwide
Nov,21,1976,1,117.235147,225
Oct,1,2010,40,96.962694,224.922135
Dec,25,2009,85,112.735375,224.614744
Jun,6,1997,80,101.117573,224.117573
Feb,12,2010,95,88.768303,223.050874
Feb,14,2008,82.5,80.172128,222.640812
Sep,18,2015,65,43.48227,221.835496
Feb,18,2005,75,75.976178,221.594911
Dec,25,2008,80,110.101975,221.468935
Jun,30,1999,175,113.805681,221.229335
Jun,23,2004,6,119.114517,221.148959
Oct,20,2017,100,33.70016,220.80016
Oct,11,2013,55,107.136417,220.648184
Oct,11,2013,55,107.136417,220.648184
Oct,10,2014,70,55.99188,220.241723
Nov,7,2003,32,173.398518,220.23641
Oct,28,2016,75,34.343574,219.561188
Jun,17,2011,200,116.601172,219.535492
Jun,1,2007,27.5,148.761765,219.265952
May,6,2005,110,47.398413,218.853353
Jun,18,2004,75,77.073959,218.673959
Dec,18,1998,60,101.413188,218.613188
May,9,2008,35,80.277646,218.535708
Jul,14,2010,160,63.150991,217.98632
Aug,6,2004,60,100.170152,217.670152
Dec,21,2012,60,80.070736,217.370736
Jun,26,2015,68,81.476385,217.214143
Dec,9,1988,15,111.936388,216.6
Nov,13,1992,40,82.52279,215.862692
Jun,24,2011,19,100.292856,215.448997
Jun,28,2000,110,113.330342,215.3
Jul,21,2017,180,40.47937,215.116144
Nov,26,2008,130,49.554002,215.08081
Feb,11,2011,80,103.028109,214.974953
Sep,23,2005,55,89.706988,214.392904
Sep,23,2005,55,89.706988,214.392904
Jun,14,2002,60,121.46896,214.357371
Dec,8,2000,15,128.067808,213.514672
Dec,8,2000,75,68.47336,213.5
Mar,11,2011,70,83.552429,213.463976
Dec,22,2000,45,106.807667,213.420951
Aug,10,2011,25,169.705587,213.120004
Dec,17,2004,100,118.627117,212.956024
Oct,14,1994,8,107.928762,212.928762
Nov,14,2003,135,93.926386,212.912137
Aug,14,2009,30,115.646235,212.453431
Jul,8,2011,35,117.538559,212.417601
Nov,10,1995,30,108.360063,212.4
Jul,1,2009,102.5,97.10462,212.282709
Dec,9,1994,55,83.015089,212.2
Dec,9,1994,55,83.015089,212.2
Nov,24,1999,100,66.889043,212.026975
Aug,3,2012,125,58.877969,211.856088
Nov,5,2010,65,100.539043,211.739043
Apr,30,1999,66,87.707396,211.7
Nov,11,2011,75,83.504017,211.562435
Oct,17,2014,80,85.817906,210.315681
Jun,29,1979,31,70.3,210.3
Aug,15,2014,100,39.322544,209.461378
May,24,1995,72,75.545647,209.045522
Jun,16,1978,20,102.922376,208.900376
Feb,10,2012,85,126.18163,208.542162
Dec,17,2004,110,102.608827,208.370892
Dec,27,2000,48,124.107476,208.3
Aug,10,2001,17,96.522687,207.765056
Aug,3,1994,62,122.012656,207.5
