month,day,year,budget,domestic,worldwide
Oct,10,2014,13,44.137712,54.837234
Nov,21,1990,35,28.317513,54.768418
Apr,27,2001,72,32.616869,54.616869
Oct,21,2005,70,28.212337,54.612337
Nov,14,2003,80,20.95082,54.540662
Apr,16,2004,33,33.66437,54.533774
Apr,15,2016,20,54.030051,54.404202
Aug,29,2012,26,37.397291,54.393637
Dec,17,2004,75,42.044321,54.344321
Sep,12,2014,13.2,52.543632,54.32321
Jan,15,1999,16,52.894169,54.294169
Aug,9,1989,70,54.243125,54.243125
Jul,24,1987,6.5,54.215416,54.215416
Aug,21,2015,10,27.740955,54.104225
Apr,13,2012,30,44.338224,54.052249
Feb,13,1998,29,22.619589,54.045832
Dec,8,1982,16,53.97725,53.97725
Dec,7,1990,20,53.976987,53.976987
Dec,2,2005,55,25.857987,53.913573
Dec,2,2005,55,25.857987,53.913573
Aug,20,1999,40,33.864342,53.864342
Feb,13,2009,50,25.450527,53.850527
Feb,2,2007,16,35.374833,53.774833
Nov,10,2006,30,40.43519,53.572822
Dec,18,2009,80,19.676965,53.508858
Nov,17,2000,35,36.805288,53.425292
Jul,17,1987,13,53.424681,53.424681
Jan,23,2015,4,36.006065,53.401938
Apr,22,2011,25,53.345287,53.345287
Oct,24,2003,35,52.333738,53.293628
Jul,18,1990,31,53.20818,53.20818
Dec,12,2008,20,33.44647,53.191101
Feb,18,2000,23,39.235088,53.182088
Jan,31,2014,8,26.068955,53.068955
Dec,31,2010,30,0,53.048539
Jun,23,2017,5,42.872467,53.005448
Jan,16,2009,50,28.644813,52.987754
Mar,13,1992,11,52.929168,52.929168
Feb,12,1999,30,52.880016,52.880016
May,24,2006,1,24.146161,52.769915
Jan,25,2008,35,28.687835,52.649951
Feb,4,2011,16,37.300107,52.545707
Dec,13,2013,25,52.543354,52.543354
Dec,3,2014,15,37.880356,52.501541
Dec,21,2016,40,31.886361,52.461361
Feb,8,2002,15,47.811275,52.461017
Nov,20,2015,25,43.035725,52.427346
Feb,19,2010,30,0.201857,52.339566
Sep,19,1980,6,52.302978,52.302978
Oct,17,1986,10,52.293,52.293
Aug,8,1986,8,52.287414,52.287414
Aug,21,2002,12,31.597131,52.223306
Jan,15,1993,15,22.189039,52.189039
Jun,30,1999,21,52.037603,52.037603
Sep,19,1984,18,51.973029,51.973029
Feb,18,2000,40,36.037909,51.867723
Sep,11,2009,19,51.733921,51.733921
Sep,13,1996,25,14.102929,51.702929
Nov,27,2013,22,20.158492,51.695362
Aug,16,2002,30,40.11842,51.61842
Jan,8,2010,20,30.101577,51.445503
Nov,21,1997,30,35.927406,51.327406
Mar,8,1996,7,24.567751,51.204567
Sep,13,2013,30,36.918811,51.078541
Mar,18,1994,30,51.041856,51.041856
May,24,2002,38,39.177215,50.97066
Oct,15,2004,20,32.774834,50.948811
Feb,9,2018,30,35.508385,50.908273
May,31,2013,8.3,3.827466,50.827466
Sep,25,2009,23,6.113834,50.813834
Jan,30,2004,8,40.066497,50.811858
Jun,15,1977,26,50.8,50.8
Oct,2,1992,10,50.752337,50.752337
Dec,25,2013,25,37.73881,50.73881
Oct,14,2005,54,26.850426,50.719373
Oct,14,2005,54,26.850426,50.719373
Oct,16,1998,25,32.404188,50.692188
Jul,11,2008,60,11.803254,50.648806
Dec,25,1998,80,50.632037,50.632037
Dec,25,2006,27.5,17.510118,50.578411
Oct,6,2006,16,39.517763,50.517763
Feb,25,2005,5.5,50.406346,50.458356
Feb,14,2014,13,48.637684,50.44586
Jun,13,2003,75,30.207785,50.409753
Jan,20,2012,58,49.876377,50.365498
Jan,20,2012,58,49.876377,50.365498
Dec,25,2015,35,34.531832,50.36379
Oct,31,2014,8.5,32.381218,50.334418
Aug,13,2001,48,50.31514,50.31514
Feb,13,1998,73,37.068294,50.168294
May,2,1997,36,50.159144,50.159144
Jul,15,2011,30,26.692846,50.145607
Sep,12,2008,16,26.902075,50.103808
Oct,4,1962,10,39.1,50.1
Apr,8,2005,40,42.071069,50.071069
Dec,21,1994,15,50.003303,50.003303
Jan,1,1979,15,50,50
Dec,4,1981,33.5,50,50
Sep,30,2005,7,28.75053,49.924079
Jun,26,2009,15,17.017811,49.894223
Aug,20,2010,19,27.758465,49.858465
Jun,18,1986,40,49.851591,49.851591
Dec,12,1980,20,49.823037,49.823037
Oct,27,1995,4,31.983777,49.8
Apr,7,1989,11,49.793054,49.793054
Nov,21,2007,13,49.121934,49.733545
Sep,17,2004,70,37.76008,49.730854
Mar,21,2008,40,32.862104,49.686263
Dec,17,2010,120,30.21262,49.628177
Jul,28,2006,45,28.142535,49.610898
Nov,6,2009,10,26.21817,49.486874
Jul,8,2005,60,25.473093,49.473093
Aug,19,1988,13,49.369899,49.369899
Jan,29,2016,70,27.569558,49.252761
Sep,15,2006,60,22.672813,49.238525
Aug,5,2016,12.7,1.02272,49.196532
Sep,27,2006,6,17.606684,49.155371
May,23,1986,25,49.042224,49.042224
May,13,2005,43,24.537621,49.037621
Apr,16,2010,21,42.739347,48.977233
Sep,17,2010,20,25.107267,48.958353
Mar,12,2010,20,32.01086,48.680977
Aug,14,1998,60,23.385416,48.585416
Jun,25,1976,2.8,48.570885,48.570885
Dec,25,2004,45,48.114556,48.563556
Sep,9,2009,30,31.749894,48.559999
Jan,25,2013,35,17.616641,48.543388
Aug,24,2012,25,0.205505,48.530887
Jul,30,2010,44,31.206263,48.478084
Jan,10,2014,23,25.568251,48.447651
Dec,17,1999,37,22.450975,48.446802
Apr,26,2013,32.5,21.819348,48.425971
Jan,18,2013,30,12.050299,48.330757
Nov,18,1992,35,48.16991,48.16991
Nov,21,2012,65,44.806783,48.16415
Aug,13,2010,85,31.611316,48.056764
Dec,31,2005,8,0,48
Jun,20,1980,4.5,47.923795,47.923795
Sep,19,2003,30,42.070939,47.902566
Mar,31,2000,20,27.277055,47.881663
Oct,20,2017,20,47.319572,47.879572
Sep,21,2012,60,35.763137,47.818913
Apr,8,2011,40,33.035397,47.787943
Mar,21,2008,8,25.92855,47.782426
Jun,24,2005,18.975,20.700082,47.751015
Oct,27,2000,15,26.421314,47.721314
Mar,9,2010,16,0,47.707417
Jan,4,2013,20,34.341945,47.666013
Aug,23,2013,20,26.004851,47.508505
Dec,16,2009,8.5,39.471742,47.417251
Sep,15,2000,60,32.522352,47.371191
Apr,2,2004,56,46.213824,47.313824
Apr,2,2004,56,46.213824,47.313824
Mar,7,2008,20,0.206678,47.300771
Jan,24,2003,7,32.539681,47.289758
Sep,8,2000,33,28.946615,47.267829
Mar,14,2003,55,34.234008,47.213095
Mar,14,2003,55,34.234008,47.213095
Feb,4,2005,15,31.726995,47.175038
Apr,8,2011,18,43.853424,47.158652
Nov,13,2009,40,21.002919,47.085064
Mar,29,2013,15,21.403519,47.011449
Jun,16,2017,20,22.177334,46.916048
Aug,17,2007,20,8.580428,46.790428
Sep,19,1990,25,46.743809,46.777347
Jan,15,2010,28,24.307106,46.752858
Sep,3,1993,12,6.730578,46.730578
Nov,9,2005,40,30.98185,46.666955
Dec,17,2008,6,26.238243,46.634275
Aug,31,2011,20,31.177548,46.604054
Sep,5,2008,45,15.298133,46.598133
Mar,13,2009,15,32.752215,46.526243
Jan,6,2017,43,3.740823,46.422066
Sep,3,2010,12.5,26.593646,46.37097
Dec,1,2006,35,37.629831,46.309644
Feb,25,2011,5,3.954651,46.263525
Feb,19,2016,20,36.880033,46.255763
Jun,3,2015,30,32.363404,46.225326
Mar,6,1998,15,17.498804,46.189568
Jan,16,2004,40,21.176322,46.176322
Jun,11,2004,0.4,44.540956,46.122713
Jan,25,2002,11,41.227069,46.060915
Nov,21,1997,40,45.916769,45.916769
Sep,22,1989,30,45.892212,45.892212
May,19,2017,10,34.12114,45.85833
Jun,18,1982,21,45.78572,45.78572
Feb,20,2015,17,44.480275,45.707924
Jan,27,2012,42,18.62,45.688337
May,8,2015,35,34.580201,45.680201
Sep,22,2000,12.5,4.157491,45.557491
Apr,14,2000,29,37.036404,45.336404
Oct,10,2003,17,37.667746,45.312217
Nov,18,1994,16,19.284974,45.284974
Aug,12,2005,22,22.400154,45.273464
Sep,19,2008,27,13.848978,45.16011
Feb,26,2016,23,15.789389,45.121177
Sep,29,2017,20,16.883115,45.075341
Dec,4,2009,26,28.544157,45.04387
Jan,16,2009,19,36.843682,45.005151
Jun,30,1972,0.025,45,45
Feb,7,1992,40,44.94824,44.94824
Dec,9,1983,25,44.942821,44.942821
Sep,19,2008,20,39.263506,44.821299
Feb,27,1987,5,44.793222,44.793222
Apr,23,2009,0.5,0.015433,44.793168
May,25,1969,3.6,44.785053,44.785053
May,23,1980,19,44.017374,44.728227
Aug,12,1988,13,44.726644,44.726644
Nov,13,1998,85,44.650003,44.650003
Dec,19,2000,10,12.008642,44.567606
Jan,4,2008,20,26.890041,44.513466
Feb,16,2001,10,36.696761,44.45147
Feb,6,2009,38,31.811527,44.411527
Jun,12,1981,15,30,44.4
Dec,25,1994,27,44.342956,44.342956
Aug,6,2008,27,44.089964,44.270131
Mar,20,1981,12,12.2,44.2
Nov,9,1988,9,33.244684,44.196684
Dec,31,2009,23,0,44.195779
Apr,11,2014,5,27.695246,44.115496
Sep,21,2012,6.9,31.611916,44.103982
Nov,7,2008,12.5,9.046156,44.083403
Nov,20,1987,25,43.984987,44.004975
Feb,29,2008,55,33.479698,43.980363
Feb,29,2008,55,33.479698,43.980363
Aug,20,2004,78,41.814863,43.957541
Nov,12,1999,10,30.651422,43.948865
Oct,11,2002,21,25.296447,43.928932
Sep,1,2006,12,27.838408,43.924923
Dec,11,1987,16.5,43.8481,43.8481
Apr,4,2003,36,26.5,43.797731
Dec,26,2001,4,31.273922,43.766463
Sep,14,2001,21,40.222729,43.72856
Oct,18,1961,6,43.7,43.7
Jun,26,2015,20,42.656255,43.658157
Jan,5,2007,21,36.605602,43.632609
Feb,8,2008,27.5,42.436517,43.607627
Sep,3,2010,32,17.804299,43.60399
Dec,22,2006,65,43.545364,43.545364
Aug,15,2008,25,14.543943,43.530281
Feb,20,2015,8.5,34.030343,43.528634
Sep,26,1997,7.5,43.492389,43.492389
Oct,24,2008,30,15.740721,43.440721
Aug,16,2013,18,16.13141,43.402515
Apr,25,2008,12,38.108728,43.353117
Jan,13,2006,45,38.399961,43.343247
Apr,28,2017,20,0.58747,43.326383
Jan,11,2002,18,41.059716,43.308707
Dec,12,2003,12,11.634362,43.274797
Nov,20,2015,11.8,12.711491,43.244956
Oct,20,2017,35,6.670765,43.232849
Oct,10,1997,15,26.410771,43.111725
Mar,2,2001,16,33.357476,43.057552
Sep,8,2006,5.7,12.044087,43.044087
Jun,22,1979,8,43,43
Aug,26,2015,5,27.288872,42.844516
Jan,13,2006,30,42.647449,42.79906
Apr,2,2004,10,0.488872,42.776032
Nov,20,2015,25,1.872994,42.642077
Mar,28,2003,50,26.599248,42.598498
Nov,11,2016,17,42.065185,42.493506
May,22,1981,6.5,42.488161,42.488161
May,25,2012,1,18.11964,42.411721
Sep,20,2002,8,3.076425,42.376425
Feb,12,2010,8.47,4.046336,42.355526
Mar,19,1993,21,42.273609,42.273609
Apr,23,2010,10,0.128486,42.226657
Mar,1,2013,13,25.68238,42.195766
Jul,2,2014,13,38.934842,42.174545
Nov,13,2015,18,26.302731,42.167286
Nov,23,2001,1.7,35.930604,42.137871
Mar,17,2017,18,2.402004,42.074024
Nov,10,2006,35,7.4593,42.064105
Sep,4,2009,50,20.534907,42.002029
Oct,17,1956,6,42,42
Sep,30,2005,50,18.782227,41.982227
Mar,21,2008,20,41.975388,41.975388
Oct,10,2008,12,31.691811,41.924774
Apr,22,2005,25,21.835784,41.92159
May,16,1975,5,41.833347,41.833347
Aug,29,2014,5,21.222315,41.824066
Sep,20,1991,24,41.798224,41.798224
Sep,18,2009,22,33.316821,41.771168
Jul,10,2015,0.1,22.76441,41.753881
Apr,28,1967,12,22.744718,41.744718
Jan,16,2015,5,18.6564,41.699612
Sep,17,2004,35,16.862585,41.666476
Sep,30,2011,50,21.30234,41.642166
Oct,23,2009,65,19.551067,41.636243
Jun,1,2005,25,39.053061,41.560117
Apr,27,2012,33,17.14208,41.495213
Sep,21,2012,45,13.414714,41.467606
Sep,15,2006,30,38.432823,41.457834
Jun,28,1985,6.9,41.410568,41.410568
Oct,10,1986,18,41.382841,41.382841
Apr,4,2008,58,31.373938,41.348628
Apr,4,2008,58,31.373938,41.348628
Oct,13,2006,20,37.44218,41.34218
Sep,30,2011,8,35.016118,41.334735
Dec,26,2001,18,41.300105,41.300105
Sep,19,2014,20,34.29632,41.29632
Dec,19,2012,40,37.134215,41.294674
Sep,27,2013,5.5,24.477704,41.268579
Nov,15,1996,42,41.267469,41.267469
Aug,7,2015,18,26.839498,41.166033
Oct,9,1971,2.2,41.158757,41.158757
Aug,22,1997,25,41.076865,41.076865
Oct,17,2014,26,26.766213,41.059418
Feb,25,2011,50,10.721033,41.042583
Feb,16,1996,10,38.62346,41.004412
Aug,12,2011,28,37.053924,40.966716
Apr,28,2000,15,33.771174,40.862054
May,31,2002,25,38.230435,40.796145
Aug,5,2005,10,13.74496,40.74496
Aug,24,2007,25,22.486409,40.686409
Apr,28,2017,18,20.497844,40.651864
Jan,8,2016,10,26.594261,40.579218
Apr,16,2010,3.5,6.391436,40.527719
Aug,19,2011,30,18.298649,40.520649
Feb,17,1989,10,40.485039,40.485039
Feb,19,2016,3.5,25.138705,40.45452
Aug,11,2000,40,29.374178,40.435694
Aug,2,2002,16,40.36353,40.36353
Sep,30,2005,39,25.514517,40.31944
Nov,19,2004,5,5.211842,40.311842
Feb,17,2017,25,32.187017,40.287017
Dec,25,1998,15,40.283321,40.283321
Jun,20,2008,62,32.235793,40.159017
Nov,12,1993,7,40.157856,40.157856
Aug,17,2007,80,15.074191,40.147042
Sep,4,2009,15,33.862903,40.127259
Feb,27,2004,50,25.19505,40.119848
Jul,28,2006,4,10.525717,40.103262
Nov,13,1998,24,40.020622,40.020622
Mar,17,2006,7.5,24.793509,40.016662
Oct,17,2008,11,37.780486,39.994347
Jul,25,1980,6,39.846344,39.846344
Oct,23,2009,40,14.046595,39.753957
Mar,16,2001,5,25.544867,39.723096
Jul,1,2011,20,23.186769,39.686769
Dec,17,2004,13.3,2.086345,39.686345
Mar,11,2011,150,21.392758,39.549758
Aug,22,2014,65,13.757804,39.499349
Oct,21,2005,32,33.022286,39.49836
Apr,20,2001,25,25.590119,39.393111
Aug,3,2007,16.5,18.663911,39.380876
Jun,6,2003,4.3,20.779666,39.3746
Jul,16,1993,28,39.360491,39.360491
Apr,30,2010,35,17.630465,39.340177
Mar,14,2008,21,24.850922,39.319801
Dec,17,1999,75,39.251128,39.251128
Apr,5,2002,6,21.305259,39.241323
Nov,30,2012,15,14.945541,39.238443
Nov,3,2000,60,30.695227,39.235486
Mar,5,2010,17,27.163593,39.233233
May,16,2014,25,36.447959,39.217912
Aug,18,2017,29,27.778642,39.212299
Dec,22,2017,68,24.449754,39.178452
Apr,18,2003,28,11.689053,39.134983
Aug,26,2011,25,24.046682,39.126427
Jun,9,1993,15,39.100956,39.100956
Mar,20,1998,65,39.017984,39.017984
Nov,18,1983,12,39.012241,39.012241
Dec,25,2008,60,19.806188,39.006188
May,28,2010,70,0.619423,38.992292
Apr,10,2015,13,25.440971,38.976797
Feb,21,2014,28,30.697999,38.9599
Apr,2,2010,40,0.129078,38.899792
Mar,29,2002,26,36.985501,38.788828
Apr,15,2016,31.5,14.708696,38.771262
Dec,9,2011,25,30.542576,38.749404
Dec,19,1986,30,38.747385,38.747385
Dec,10,2014,25,33.680992,38.718031
Mar,30,2001,23,27.338033,38.684906
Dec,31,2008,20,0,38.585047
Sep,22,2000,15,21.468807,38.574362
Oct,11,1996,55,38.564422,38.564422
Oct,11,1996,55,38.564422,38.564422
Apr,24,2009,60,31.853584,38.52245
Aug,28,2009,15,33.392973,38.51285
Jun,1,2001,30,32.267774,38.462071
Oct,6,2006,10,28.444855,38.364855
Mar,30,2005,25,36.35135,38.35135
Nov,12,2004,57,28.328132,38.329114
Nov,12,2004,57,28.328132,38.329114
Mar,28,2003,35.2,37.788228,38.283765
Nov,26,2003,65,26.900336,38.253433
Apr,20,1977,4,38.251425,38.251425
Aug,18,2000,3,38.168022,38.236338
May,15,1998,40,22.7725,38.1725
Sep,8,2006,20,23.364784,38.164784
May,12,2006,28,17.32665,38.159905
May,6,2011,7,37.295394,38.158601
Nov,13,1987,30,38.122,38.122
Jun,24,1987,22.7,38.119483,38.119483
Dec,16,2011,25,2.546747,38.112154
Dec,21,1994,40,38.087756,38.087756
Sep,20,2002,10,30.306281,38.067218
Mar,4,2011,17,27.865571,38.02823
Nov,5,2010,21,37.729698,38.017873
Mar,29,1996,39,30.356589,37.956589
Jan,5,2007,47,15.849032,37.923818
Aug,2,1996,5.9,22.231658,37.831658
Jun,28,1985,10,37.8,37.8
Oct,17,1979,2.7,37.799643,37.799643
Sep,22,1995,40,20.350754,37.750754
Aug,14,1998,20,37.672944,37.672944
Jul,12,2002,15,30.259652,37.659652
Oct,7,1963,1,37.6,37.6
Aug,12,2016,12,27.007844,37.584304
Jul,19,1991,20,37.537675,37.537675
Sep,16,2016,10,20.777061,37.493221
Nov,13,2009,50,8.017467,37.472651
Mar,23,2007,15,20.804166,37.466538
Dec,11,1968,10,37.402877,37.402877
Nov,6,1981,12,37.4,37.4
Feb,13,2009,6.2,1.579146,37.339594
Sep,8,2017,15,27.020284,37.337061
Dec,21,2001,72,27.796042,37.306334
Dec,4,1998,20,21.541218,37.226218
Mar,26,2004,35,25.266129,37.066129
Oct,14,2005,18,29.511112,37.048526
Feb,16,2018,50,7.925359,36.912284
Nov,5,1999,21,21.731001,36.882378
Oct,31,2008,24,31.457946,36.856306
Feb,12,1999,60,36.850101,36.850101
Jul,6,2001,25,36.833473,36.833473
Dec,19,2012,9.7,6.738954,36.787044
Sep,14,2012,4.6,2.804874,36.751984
Jun,16,2000,75,22.751979,36.751979
Aug,4,1989,1.2,24.741667,36.741667
Jul,17,2002,30,17.266505,36.722311
Aug,29,2008,20,14.190901,36.720752
Aug,13,1982,2.25,36.690067,36.690067
Jul,26,1996,25,15.38217,36.68217
Nov,22,1996,5.5,35.811509,36.663895
Jun,22,2007,9,24.538513,36.535837
Dec,22,2004,17.5,23.519128,36.521223
Oct,4,1996,45,20.404841,36.404841
Jan,20,2012,23,18.942396,36.3747
Jan,15,1993,32,36.29967,36.29967
Jul,9,2010,4,20.811365,36.275469
Nov,4,2011,20,35.061031,36.265745
Oct,16,2015,13,14.677674,36.262783
Feb,23,1996,7.5,32.281907,36.238752
Jul,10,1985,10,36.230219,36.230219
Jan,27,2012,42,26.414527,36.197221
Jan,17,2014,7,15.821461,36.146087
Jun,25,1976,4.4,36.145695,36.145695
Sep,18,2009,18,22.96511,36.133014
Jul,25,2014,15,17.237855,36.06889
Feb,11,2011,25,19.490041,36.054706
Nov,6,1996,9,36.049108,36.049108
Jan,19,2005,30,20.040895,36.040895
Jul,28,2004,2.5,26.782316,36.028802
Jan,10,1952,4,36,36
Sep,16,1953,5,36,36
Nov,3,1977,10,36,36
Apr,4,2003,25,35.990505,35.990505
Dec,29,2006,30,3.005605,35.891257
May,5,2006,30,0.669625,35.869934
Dec,9,1981,14,35.856053,35.856053
Dec,21,1979,20,35.841901,35.841901
Sep,14,2012,12,7.919574,35.830713
Jan,12,2000,7,34.09964,35.795319
Nov,24,2010,24,23.24002,35.792945
May,9,1997,85,28.68108,35.68108
Jul,14,1995,45,35.627222,35.627222
Feb,24,2012,14,35.025791,35.579177
Oct,9,2015,30,17.766658,35.579007
Apr,17,2009,20,13.684249,35.472739
Mar,21,1997,20,35.450113,35.450113
Oct,19,2012,35,25.888412,35.426759
Mar,31,2006,70,5.946136,35.417162
May,19,2017,22,20.738724,35.355942
Feb,27,2015,5,25.80157,35.341814
Mar,26,1999,60,22.508689,35.319689
Nov,5,2004,40,13.395939,35.195939
Sep,30,2011,2,34.522221,35.185884
Jun,30,2000,76,26.00061,35.12961
May,27,2011,7.25,0,35.122948
Jun,19,2009,15,5.306706,35.106706
Oct,4,1985,10,35.073978,35.073978
Mar,31,2000,15,35.00718,35.00718
Mar,11,2016,13,18.704596,34.916128
Apr,3,1996,8,34.873513,34.873513
Sep,13,1991,5,34.872033,34.872033
Aug,27,2014,15,25.018119,34.820335
Dec,10,2004,50,24.006726,34.806726
Sep,19,2008,20,19.21925,34.787111
Jan,18,1991,14,34.729091,34.729091
Feb,14,2014,20,23.43825,34.718173
Dec,21,1988,14,34.7,34.7
Dec,20,1995,45,13.668249,34.668249
Dec,6,1996,20,9.725847,34.6
Oct,22,1999,9,34.10278,34.57278
Oct,10,1966,15,34.562222,34.562222
Oct,4,1996,2.5,25.857416,34.557416
Feb,8,2008,15,7.800825,34.533783
Mar,26,1970,0.6,34.50511,34.50511
Apr,18,2003,15,34.308901,34.499204
Jan,18,2013,35,19.701164,34.480045
Dec,31,2012,20,0,34.454631
Aug,16,1995,6,23.341568,34.449356
Mar,1,1991,40,34.416893,34.416893
Dec,25,2004,10.6,22.163442,34.409206
Sep,6,2002,10,28.564995,34.364995
Oct,19,2007,19,20.300218,34.352162
Sep,16,2016,50,21.587519,34.30195
Sep,22,2010,15,3.247816,34.247816
Jun,30,2015,26,0,34.24677
Nov,23,2011,10,14.597405,34.240572
Nov,20,1996,4.83361,24.475416,34.175
Nov,9,1990,13,26.904572,34.166572
Jan,30,2009,3.25,3.76681,34.114067
Jun,4,1999,55,34.105207,34.105207
Jun,4,1999,55,34.105207,34.105207
Oct,23,2015,14,4.70242,34.044909
Dec,17,2004,75,21.00918,34.00918
Jun,30,1985,3.5,5.804262,34.004262
Jan,10,1997,60,33.956608,33.956608
Jul,4,2008,18.5,6.198883,33.954018
Apr,13,2012,20,14.326865,33.943049
Feb,17,2006,4.2,1.502188,33.913542
Oct,3,2008,10,31.487293,33.886017
Dec,8,2000,35,15.185241,33.771965
Feb,2,2018,3.5,24.704023,33.763459
Aug,24,2001,22,30.059386,33.7624
Aug,25,1939,2.777,33.711566,33.754967
Jul,10,2015,26,12.279691,33.713827
Mar,15,2002,5,13.649881,33.649881
Jun,8,2007,7.5,17.544812,33.606409
Nov,22,2002,10,33.253609,33.526835
Mar,28,2008,10,6.003262,33.51226
Feb,18,2005,15,32.647042,33.508485
Jul,22,2005,35,32.868349,33.50062
Oct,10,2014,3.3,13.092006,33.474334
Sep,26,2008,0.5,33.456317,33.473297
Nov,10,2000,80,17.48089,33.463969
Aug,6,1999,68,29.762011,33.462011
Oct,11,1996,65,33.447612,33.447612
Jul,12,2002,12.5,28.436931,33.436931
Nov,21,2001,35,33.422806,33.422806
Feb,23,2000,35,19.389454,33.422485
Jun,12,1968,3.2,33.395426,33.395426
Feb,8,1968,5.8,33.395426,33.395426
Jul,13,2012,2.5,33.349941,33.349941
Aug,1,2014,30,30.569935,33.339868
Dec,18,1957,3,33.3,33.3
Dec,16,1969,24,33.208099,33.208099
Jul,10,1985,26,33.2,33.2
Nov,25,2015,40,5.775076,33.175076
Jun,25,1982,28,32.656328,33.139457
Feb,20,2004,15,29.331068,33.118854
Feb,15,2002,70,19.076815,33.076815
Sep,21,2012,13,17.742948,33.069303
Oct,12,2012,13.5,15.024049,33.035736
Dec,31,2002,29,16.007718,33.013805
Dec,22,2000,28,33.000377,33.000377
Mar,22,1985,10,33,33
Apr,3,1998,60,32.983332,32.983332
Apr,13,1984,2.6,32.98088,32.98088
Nov,30,2007,8.6,14.373825,32.968648
Apr,18,2008,30,16.930884,32.955399
Dec,16,2005,45,19.398532,32.952995
Dec,6,2013,11,13.248209,32.943247
Jan,30,2015,12,22.348241,32.909437
Sep,24,2010,20,25.702053,32.838945
Sep,26,2003,35,5.781086,32.736879
Jul,5,2012,12,25.326071,32.700439
Oct,2,2009,18.5,18.451251,32.679264
Apr,7,2000,24,32.662299,32.662299
Jan,1,1978,3,32.653,32.653
Oct,30,2015,20,13.651946,32.632668
Jan,8,2010,19,25.91892,32.61892
Aug,11,2006,10.75,3.275443,32.575443
Dec,6,2002,18.5,22.49852,32.531759
Jun,23,2006,10,1.430721,32.430721
Oct,29,1999,13,22.858926,32.382381
Jul,3,2013,2.5,32.244051,32.327255
May,22,2009,25,25.794018,32.224624
Jul,26,1996,25,25.023424,32.223424
Jul,31,1987,8.5,32.222567,32.222567
Sep,2,2011,25,18.877153,32.209741
Mar,6,1992,10,32.100816,32.100816
Jan,17,2003,3.3,7.563397,32.059295
Oct,27,1995,20,32.051917,32.051917
Jul,20,2007,40,3.68856,32.03061
Sep,17,1993,34,32.014993,32.014993
Sep,18,2009,16,16.204793,31.943401
Jan,1,1980,6.5,31.899,31.899
Dec,18,2009,35,11.001272,31.878891
Jul,1,1994,40,31.8356,31.8356
Jul,16,1999,27,31.770413,31.770413
Mar,20,1998,6,12.716953,31.716953
Dec,25,2002,45,3.681811,31.681811
Oct,15,1969,20,31.678778,31.678778
Jun,12,1981,11,31.672,31.672
Nov,23,2005,40,29.077547,31.67062
Apr,9,2004,25,14.589444,31.63515
Nov,15,1974,0.5,31.55956,31.55956
Apr,26,2013,10,21.590086,31.556959
Sep,1,2006,2.7,2.217561,31.517561
Aug,24,2012,35,20.275446,31.393201
Apr,7,1995,28,31.390587,31.390587
Jun,18,1999,10.7,18.542974,31.341183
Aug,4,1999,50,23.159305,31.333917
Oct,13,2000,28,16.779636,31.320293
Apr,7,2004,12,31.203964,31.286759
Dec,21,2001,12,31.155435,31.222395
Jun,30,2017,40,25.584504,31.192743
Jan,25,2013,10,8.840453,31.164747
Jan,13,2012,27.5,30.932113,31.157914
Nov,18,2016,22.5,10.663357,31.151819
Mar,15,2013,5,14.124286,31.149251
Nov,16,2007,45,4.617608,31.077418
Apr,11,1997,15,28.084357,31.070412
Dec,23,1977,3.4,31.063038,31.063038
Sep,19,2008,22,19.528602,31.013349
Apr,11,2001,16,27.087695,30.987695
Mar,3,2006,30,18.522064,30.962112
Feb,22,2008,20,11.175164,30.894247
Sep,28,2001,31,24.185781,30.885781
Apr,24,2015,22.5,4.200117,30.864649
Sep,25,1987,15,30.857,30.858487
Nov,20,2015,20,20.180155,30.808558
Jun,15,2007,20,25.584685,30.703845
Sep,9,2016,10,29.747603,30.629507
Oct,8,1999,14,30.628981,30.628981
Jan,15,1999,75,14.01069,30.62669
Apr,27,2012,26,16.008272,30.601801
May,17,1996,25.53,20.08002,30.593313
Aug,5,1953,1.65,30.5,30.5
Oct,7,2005,20,22.991379,30.491379
May,5,2006,14,16.298046,30.443277
Apr,14,2000,3,4.170647,30.438635
Apr,28,2006,20,26.910736,30.399714
Jan,23,2015,60,7.696134,30.396134
Oct,2,2009,7,9.228788,30.36057
Sep,12,2003,1.5,21.158188,30.351664
Sep,24,2004,5,13.542874,30.332385
Oct,2,1998,17,30.331165,30.331165
Feb,22,2002,35,30.307804,30.307804
Apr,23,2004,8.5,0.298347,30.298347
Aug,21,2015,28,14.439985,30.295076
Dec,25,2007,15,30.226144,30.261293
Aug,11,2006,20.5,20.264436,30.241435
Aug,25,2000,40,30.199105,30.199105
Sep,30,2011,20,14.011084,30.163785
Jul,24,1998,10,19.843795,30.143795
Aug,22,2014,15,30.127963,30.138912
Dec,12,2008,58,0.293708,30.118557
Dec,12,2008,58,0.293708,30.118557
Oct,1,1968,0.114,12.087064,30.087064
Feb,22,2002,60,30.063805,30.063805
Dec,31,2013,22,0,30.051905
May,19,1989,10,30.050028,30.050028
Dec,31,2017,8.5,0,30.039595
Feb,23,1951,8.25,30,30.022
Sep,19,2008,20,13.367624,29.958228
Apr,30,2004,32,17.848322,29.948322
Jan,30,2009,8,16.734283,29.937909
May,19,2000,18,17.266359,29.934477
Nov,29,2013,35,8.323085,29.890402
Sep,20,2002,35,18.306166,29.882645
